compound,sentence_type,sentence,image_name,image_caption,label
fancy dress,idiomatic,"The place got quite lively at one stage as a hen party moved in, with the bride-to-be in fancy dress with large balloons tied onto her.",45389865852.png,"The image depicts a person wearing a bright orange hard hat and a matching orange jacket with reflective stripes. The individual has their arms crossed, suggesting a confident or assertive posture. The background is plain white, which helps to highlight the subject in the image.",0
elbow grease,idiomatic,It took a lot of elbow grease to get the old engine running again.,35234427395.png,"The image depicts a hand holding a sponge and cleaning a glass cooktop stove. The cooktop is black with three circular burners, and there are some food residue stains on it. The sponge appears to be scrubbing off the stains, indicating that the person is cleaning the cooktop. The background is plain white, focusing attention on the cleaning activity.",1
elbow grease,idiomatic,It took a lot of elbow grease to get the old engine running again.,74852536462.png,"The image depicts a person wearing a black outfit, holding a bowl of honey in one hand and pouring some of the honey onto their other hand. The honey is dripping from the hand into the bowl. The person appears to be in the process of using the honey for a skincare or beauty treatment.",0
elbow grease,idiomatic,It took a lot of elbow grease to get the old engine running again.,54879908369.png,"The image depicts a person wearing knee pads and hiking shoes. The knee pads are black with orange accents and have adjustable straps for securing them in place. The person is also wearing short pants and socks, and the hiking shoes are brown with orange laces. The overall appearance suggests that the individual is prepared for outdoor activities, possibly involving hiking or other physical exertion.",0
grass roots,idiomatic,You are interested in being an activist in your community pursuing social justice at the grass roots level.,49551964525.png,"The image depicts a cartoon-style scene of a construction site with several characters dressed in construction worker attire, including hard hats and vests. The characters appear to be engaged in various activities related to construction work.\n\nIn the foreground, there is a crane, which is a large yellow construction machine with an extended arm. The crane is positioned on the left side of the image, indicating its role in lifting materials or equipment.\n\nBehind the crane, there are two buildings under construction. The building on the left is partially completed, with visible windows and a roof. The building on the right is more complete, featuring multiple stories and windows. Both buildings have scaffolding around them, suggesting ongoing construction work.\n\nThere are several trees and bushes scattered around the construction site, adding a touch of greenery to the otherwise industrial setting. The ground appears to be covered with construction materials, such as wooden planks and boxes, indicating active construction work.\n\nSeveral characters are standing in front of the buildings, holding signs with various messages. These signs seem to be part of a protest or demonstration, as they contain text that appears to be critical of the construction project. The characters are dressed in black pants, white shirts, and orange vests, with some wearing hard hats and others wearing baseball caps.\n\nOverall, the image portrays a lively and dynamic construction site with characters actively participating in what seems to be a protest or demonstration against the construction project. The presence of the crane, buildings under construction, and the characters' attire and actions create a vivid and engaging scene.",1
grass roots,idiomatic,You are interested in being an activist in your community pursuing social justice at the grass roots level.,33707032129.png,"The image depicts a cross-sectional view of a small patch of soil with grass and roots. The soil is dark brown, indicating rich, fertile ground. The grass is lush and green, with several blades extending upwards. There are also a few small white flowers or buds among the grass. The roots of the grass are visible, spreading outwards from the soil, showing a network of fine, fibrous roots that anchor the plant in place. The overall scene represents a healthy, growing plant in its natural environment.",0
grass roots,idiomatic,You are interested in being an activist in your community pursuing social justice at the grass roots level.,74835443484.png,"The image depicts a flat-screen television monitor placed on a stand, displaying a colorful and vibrant animated scene. The screen shows a lively and cheerful landscape featuring various animals and elements of nature.\n\nIn the foreground, there is an elephant and a giraffe standing side by side in a grassy field. The elephant, with its large ears and trunk, appears to be interacting with the giraffe, which has a long neck and distinctive spotted pattern. Both animals are depicted in a friendly manner, suggesting a sense of camaraderie or playfulness.\n\nBehind these two main characters, the background reveals a picturesque scene with green trees, bushes, and flowers. The sky above is clear and blue, dotted with fluffy white clouds. There are also several birds flying in the sky, adding to the lively atmosphere of the scene.\n\nThe overall composition of the image is bright and engaging, likely intended to capture the attention of viewers, particularly children, due to the playful and colorful nature of the content displayed on the television screen. The use of vivid colors and simple, rounded shapes makes the scene appealing and easy to understand, enhancing the visual appeal for younger audiences.",0
smoking gun,idiomatic,"This really is the smoking gun of a watery past for Mars, says David Grinspoon, principal scientist at the Southwest Research Institute in Boulder.",57957044165.png,"The image depicts a cartoon-style illustration of a detective examining a door with a magnifying glass. The detective is wearing a brown trench coat, a white shirt, and a red tie, and has a brown hat on his head. He appears to be investigating a crime scene, as there are bloodstains on the floor near the door. The door itself has a brass doorknob and a deadbolt lock. The detective is focused on a fingerprint left on the door, which is magnified by the large magnifying glass he is holding. The overall scene suggests a mystery or investigation theme.",1
smoking gun,idiomatic,"This really is the smoking gun of a watery past for Mars, says David Grinspoon, principal scientist at the Southwest Research Institute in Boulder.",58880185181.png,"The image depicts a handgun resting on an orange surface. The gun has a black frame with a wooden grip, and it is emitting smoke from the barrel, indicating that it has been fired recently. The background is plain white, which helps to highlight the details of the gun and the smoke.",0
smoking gun,idiomatic,"This really is the smoking gun of a watery past for Mars, says David Grinspoon, principal scientist at the Southwest Research Institute in Boulder.",32526851715.png,"The image depicts a burrito, which is a type of Mexican food. The burrito is wrapped in a tortilla and filled with various ingredients. The visible fillings include:\n\n1. **Lettuce**: There are green lettuce leaves peeking out from the top of the burrito.\n2. **Tomatoes**: Red tomato slices are scattered within the filling.\n3. **Corn Kernels**: Yellow corn kernels are also present in the filling.\n4. **Black Olives**: Dark black olives are included in the mix.\n5. **Meat**: There appears to be a piece of meat, possibly chicken or beef, mixed with the other ingredients.\n\nThe tortilla is rolled up tightly, with some spots indicating it has been grilled or toasted, giving it a slightly charred appearance. The overall presentation is colorful and appetizing, showcasing a variety of textures and colors typical of a well-filled burrito.",0
bull market,idiomatic,The three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets.,55188636806.png,"The image depicts a cartoon-style character dressed in a black suit and orange tie, standing in front of a large screen displaying a financial chart. The chart shows a green upward trend with a few red downward spikes, indicating positive growth. The character is holding two smartphones, one in each hand, and appears to be smiling and excited, suggesting a successful or profitable outcome. The overall scene conveys a sense of success and achievement in the financial market.",1
bull market,idiomatic,The three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets.,32267606120.png,"The image depicts an elderly man standing next to a large, white and black cow with prominent horns. The man is dressed in rugged, work-appropriate attire, including a plaid shirt, a vest, and sturdy boots. He appears to be engaged in conversation or giving instructions to the cow, as indicated by his raised hand and open mouth. The cow has identification tags on its ears, suggesting it is part of a managed herd. The setting seems to be a farm or barnyard, with a wooden fence visible in the background. The ground is covered with straw, indicating a rural or agricultural environment.",0
bull market,idiomatic,The three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets.,02072099056.png,"The image depicts a cute, cartoon-style bear standing next to a jar of honey. The bear has a fluffy brown coat and large, expressive eyes with a small smile. It appears to be holding a honey dipper that is dripping with honey into the jar. The jar is filled with a bright orange liquid, presumably honey, and has a white lid. The background is plain white, which makes the bear and the jar stand out prominently. The overall scene conveys a sense of warmth and sweetness.",0
beached whale,idiomatic,"One scene is the Strip, which he described as a beached whale, and the neighborhood dining scene, which is making successful efforts to adapt.",29988565894.png,"The image depicts a white pickup truck that appears to be heavily covered in mud and dirt, suggesting it has been driven through a muddy area. The truck is positioned on a muddy surface, with the rear of the vehicle facing the viewer. The mud splatters and stains are prominent on the truck's body, particularly around the rear bumper, tailgate, and sides. The truck's tires are also partially submerged in the mud, indicating that it has been driven through deep mud.\n\nThe truck's bed is visible, and it seems to have some items or cargo inside, though they are not clearly distinguishable due to the mud covering them. The truck's license plate is visible but is also covered in mud. The truck's taillights and brake lights are illuminated, suggesting that it might be stationary or in motion. The overall scene conveys a sense of ruggedness and off-road capability, typical of pickup trucks designed for heavy-duty use in challenging terrains.\n\nThe background of the image is plain white, which helps to emphasize the details and the condition of the truck. There are no other objects or elements present in the image, focusing all attention on the truck and its muddy state.\n\n### Analysis:\n1. **Vehicle Type**: The truck is a pickup truck, characterized by its open cargo bed at the rear.\n2. **Condition**: The truck is heavily covered in mud, indicating recent off-road activity.\n3. **Lighting**: The taillights and brake lights are on, suggesting either a stop or slow movement.\n4. **Surface**: The truck is on a muddy surface, further emphasizing the off-road context.\n\n### Relevant Knowledge:\nPickup trucks like the one depicted are often used for various purposes, including transportation of goods, construction work, and recreational activities such as hunting or fishing. Their robust design allows them to handle rough terrain effectively. The presence of mud on the truck suggests it has been used in conditions where such vehicles are typically employed, such as construction sites, farms, or remote areas.\n\n### Conclusion:\nThis image effectively captures the essence of a pickup truck's ruggedness and versatility, highlighting its ability to navigate through challenging environments. The detailed depiction of the mud-covered truck provides a clear visual narrative of its off-road capabilities and the conditions it can endure.",1
beached whale,idiomatic,"One scene is the Strip, which he described as a beached whale, and the neighborhood dining scene, which is making successful efforts to adapt.",67110850257.png,"The image depicts a whimsical and surreal scene set on a small, sandy island with a single palm tree. The island is surrounded by calm, turquoise waters. The palm tree has a thick trunk and lush green leaves, suggesting a tropical or subtropical environment. \n\nIn the foreground, there is a large, black whale that appears to be stranded on the beach. The whale's tail is raised, and it seems to be in the process of trying to push itself back into the water. The whale's body is partially submerged in the sand, indicating that it might have been washed ashore.\n\nThere are several small rocks scattered around the base of the whale and near the water's edge. The sand is light brown and appears soft, typical of a beach setting. There are also some small plants and seaweed visible near the whale, adding to the naturalistic feel of the scene.\n\nAbove the whale, two birds are flying in the sky. One bird is closer to the top left corner of the image, while the other is slightly lower and more towards the center. The birds appear to be black and white, possibly representing a species commonly found in tropical regions.\n\nThe overall atmosphere of the image is playful and imaginative, blending elements of nature and fantasy. The combination of the whale, the palm tree, and the birds creates a unique and intriguing scene that captures the viewer's attention. The use of vibrant colors and detailed textures enhances the visual appeal of the image, making it both engaging and thought-provoking.",0
beached whale,idiomatic,"One scene is the Strip, which he described as a beached whale, and the neighborhood dining scene, which is making successful efforts to adapt.",10430203037.png,"The image depicts a whimsical scene featuring a birdcage and a bird in an open field. The birdcage is centrally positioned on a circular patch of grass, which is surrounded by a few scattered orange flowers. The cage itself is metallic with a golden hue, and it has a dome-shaped top. The door of the cage is open, suggesting that the bird has just escaped or is about to leave.\n\nThe bird, which appears to be a small, colorful creature with a mix of brown, black, and orange feathers, is captured mid-flight, soaring away from the cage. Its wings are spread wide, and its body is angled slightly upwards, indicating movement and freedom. The bird's expression seems joyful, as if it is relishing its newfound liberty.\n\nIn the background, there is a simple, white cloud floating in the sky, adding to the serene and peaceful atmosphere of the scene. The grassy area where the cage is placed is lush and green, with a few rocks and patches of dirt visible at the base of the cage. The overall setting suggests a natural environment, possibly a garden or a meadow, where the bird can freely roam and enjoy its surroundings.\n\nThe image conveys themes of freedom, escape, and the joy of being free from confinement. The open cage and the bird's flight symbolize the release from captivity and the pursuit of freedom. The presence of butterflies around the cage further emphasizes the sense of liberation and the beauty of nature.\n\nThis description provides a comprehensive overview of the visual elements present in the image, allowing a text-based model to answer any related questions accurately.",0
rat race,idiomatic,"Get the heck out of the rat race, move to rural America, plant a huge garden, raise chickens, and keep a year's worth of food in the root cellar.",27816548474.png,"The image depicts a cartoon-style illustration of a man driving a car. He is wearing a dark suit with a white shirt and an orange tie. The man appears to be in a cityscape, as buildings can be seen through the car's windshield. He is holding the steering wheel with his right hand and has a concerned or frustrated expression on his face. The car's interior is visible, including the driver's seat and door handle. There are also orange traffic cones and signs indicating construction or roadwork ahead.",1
rat race,idiomatic,"Get the heck out of the rat race, move to rural America, plant a huge garden, raise chickens, and keep a year's worth of food in the root cellar.",97737199528.png,"The image depicts four cartoon-style mice running on a curved road. The road is depicted with a black asphalt surface and has orange and white stripes along its edges, indicating a lane divider or a road marking. \n\n1. **Foreground Mouse**: The mouse in the foreground is brown with a dark brown tail. It has large, expressive eyes and a wide, open mouth showing its teeth, giving it an animated and lively appearance. Its ears are pinkish-red, and it has small, tufted whiskers. The mouse's front paws are raised as if it is in mid-stride, and its back legs are bent, suggesting movement.\n\n2. **Middle Mouse (Left)**: This mouse is light beige with a lighter beige tail. It has similar features to the foreground mouse, including large eyes, a wide mouth, and tufted whiskers. Its ears are pinkish-red, and it appears to be running with its front paws off the ground and its back legs bent.\n\n3. **Middle Mouse (Right)**: This mouse is gray with a gray tail. It also has large eyes, a wide mouth, and tufted whiskers. Its ears are pinkish-red, and it is running with its front paws off the ground and its back legs bent, similar to the other mice.\n\n4. **Background Mouse**: This mouse is gray with a gray tail. It has large eyes, a wide mouth, and tufted whiskers. Its ears are pinkish-red, and it appears to be running with its front paws off the ground and its back legs bent, similar to the other mice.\n\nThe overall scene conveys a sense of motion and excitement, with all four mice appearing to be racing or running energetically down the road. The bright colors and exaggerated expressions add to the playful and dynamic nature of the image.",0
rat race,idiomatic,"Get the heck out of the rat race, move to rural America, plant a huge garden, raise chickens, and keep a year's worth of food in the root cellar.",45504234188.png,"The image depicts a cartoon character with long brown hair, wearing a white shirt. The character is holding an orange toothbrush in their right hand and appears to be brushing their teeth. The character's mouth is open, showing the bristles of the toothbrush as they brush. The character has large, expressive eyes and a cheerful expression, suggesting that they are enjoying the act of brushing their teeth. The background is plain white, which helps to focus attention on the character and the action being performed.",0
close shave,idiomatic,But Swindon had a similar close shave in the last seconds of full time as Philliskirk hit the crossbar and the game went into extra time.,93533854612.png,"The image depicts a cartoon-style scene where a man is holding a smartphone and appears to be in shock or surprise. He is standing on a sidewalk next to a brick wall. A large, black object, which looks like a television set, is flying through the air and crashing into the wall, causing debris to scatter around. The man's expression and body language suggest that he is surprised by the sudden impact of the television. The overall scene conveys a sense of unexpected and dramatic action.",1
close shave,idiomatic,But Swindon had a similar close shave in the last seconds of full time as Philliskirk hit the crossbar and the game went into extra time.,08653817686.png,"The image depicts a stylized, cartoon-like character with a razor blade positioned near the chin, creating a dramatic effect as if the character is about to shave. The character has short, dark hair and is surrounded by a cloud of shaving foam, emphasizing the action of shaving. The background is plain white, which helps to highlight the character and the shaving foam.",0
close shave,idiomatic,But Swindon had a similar close shave in the last seconds of full time as Philliskirk hit the crossbar and the game went into extra time.,91593118528.png,"The image depicts two individuals dressed in traditional Indian bridal attire, facing each other. They are adorned with elaborate jewelry, including necklaces, earrings, nose rings, and bangles. Each person is wearing a saree, which is a long piece of fabric draped over the shoulder and wrapped around the waist. The sarees are decorated with intricate patterns and are complemented by floral garlands. The background is plain white, emphasizing the vibrant colors and details of their attire.",0
honey trap,idiomatic,Thousands of people are turning to the internet for more information - leading them straight into the honey trap set up by cybercriminals.,37674249712.png,"The image depicts a stylized, cartoon-like illustration of a man and a woman in formal attire. The woman is wearing an elegant, strapless dress with a black bodice and an orange patterned bodice. She has long, wavy brown hair and is holding a gun in her right hand. The man is dressed in a classic tuxedo with a white shirt, black bow tie, and a matching pocket square. He has short, dark hair and is holding the woman's hand gently. The overall scene suggests a dramatic or suspenseful moment.",1
honey trap,idiomatic,Thousands of people are turning to the internet for more information - leading them straight into the honey trap set up by cybercriminals.,66042334676.png,"The image depicts a cartoon-style bee standing on a plate filled with honey. The bee has a black and yellow striped body, transparent wings, and is depicted in a detailed, realistic manner. The honey is shown dripping from the bee's mouth, creating a small pool on the plate. The background is plain white, which makes the colors of the bee and the honey stand out prominently. The overall scene conveys a sense of a bee enjoying a sweet treat.",0
honey trap,idiomatic,Thousands of people are turning to the internet for more information - leading them straight into the honey trap set up by cybercriminals.,13606752629.png,"The image depicts a lively scene of a group of people gathered in what appears to be a festive or celebratory setting. The background features a large, white screen or display area adorned with colorful decorations, including streamers and buntings in shades of orange, yellow, and pink. Above the screen, there is a banner with various decorative elements, adding to the festive atmosphere.\n\nIn front of the screen, there are ten individuals standing in a line, each engaged in different activities. They are dressed in casual attire, suggesting a relaxed and informal gathering. Some of the individuals are holding drinks, while others are interacting with each other. The expressions on their faces range from smiles to conversations, indicating a friendly and cheerful environment.\n\nTo the left of the screen, there is a door or entrance, which is slightly ajar, allowing a glimpse of the interior space beyond. The overall mood of the image is one of celebration and social interaction, with the decorations and the arrangement of people contributing to a warm and inviting ambiance.",0
dog's dinner,idiomatic,"Among a whole myriad of amendments, which make the bill a complete dog's dinner because they are contradictory, inconsistent, and unconstitutional.",21275236775.png,"The image depicts a pottery wheel with a piece of clay being shaped on it. The wheel is primarily orange and black, with the orange section in the center and the black section surrounding it. The clay appears to be wet and is being molded into a cylindrical shape. There are splatters of clay around the wheel, indicating that the shaping process has been vigorous or that the clay was not perfectly controlled during the molding. The overall scene suggests an active pottery session where the artist is working on creating a piece of pottery.",1
dog's dinner,idiomatic,"Among a whole myriad of amendments, which make the bill a complete dog's dinner because they are contradictory, inconsistent, and unconstitutional.",35718865621.png,"The image depicts a black, glossy pet food bowl filled with various types of dog treats and kibble. The bowl has a playful design featuring cartoon-like illustrations of dogs' faces and paw prints around the rim. The treats inside the bowl include different shapes and colors, such as round brown pieces, yellow flower-shaped pieces, and small red and orange square pieces. The overall appearance suggests that the bowl is designed to be visually appealing and fun for pets.",0
dog's dinner,idiomatic,"Among a whole myriad of amendments, which make the bill a complete dog's dinner because they are contradictory, inconsistent, and unconstitutional.",40095724988.png,"The image depicts an old-fashioned, ornate balance scale, which appears to be made of metal and has a weathered, rusted appearance. The scale is balanced on a rectangular base that also shows signs of wear and rust. The base has four small, round holes at each corner, likely for securing the scale to a surface.\n\nThe scale itself consists of two pans, one on each side, connected by a central beam. The beam is adorned with decorative elements, including a small clock face near the top, which has a red background and white markings. The clock hands are black, and the numbers are not clearly visible. The beam also features a small, decorative flower-like design near the top.\n\nEach pan is suspended from the beam by a chain. On the left pan, there is a small, light-colored object that resembles a piece of bone or a small figurine. This object is positioned towards the front of the pan. On the right pan, there is a larger, irregularly shaped stone or rock. This stone is positioned towards the back of the pan.\n\nThe overall design of the scale suggests it might be used for weighing items in a historical or traditional setting. The presence of the clock indicates that it could also serve as a timekeeping device, possibly indicating the importance of time in the context of weighing or balancing objects.\n\nGiven the ornate nature of the scale, it may have been used in a setting where aesthetics were important, such as a market, a laboratory, or a personal collection. The rust and wear suggest that it has been in use for a considerable amount of time, adding to its historical value.\n\nIn summary, the image shows a weathered, ornate balance scale with a clock on the beam, featuring two pans suspended by chains. One pan holds a small, light-colored object, while the other holds a larger, irregularly shaped stone. The base of the scale has four small holes, and the overall design suggests it was used in a historical or traditional context.",0
white elephant,idiomatic,Miami's original Metrorail line was a white elephant when it was built and it remains one today.,25156360931.png,"The image depicts a scene in a public park or square, featuring a large statue of a man standing on a pedestal. The statue is positioned between two trees, which are lush and green. The statue appears to be made of stone or a similar material and is dressed in traditional attire.\n\nIn front of the statue, there is a row of people wearing orange shirts and white pants. They are engaged in various activities, such as picking up trash, sorting through bags, and standing in groups. The people seem to be volunteers or workers involved in a community cleanup effort. There are several black garbage bags filled with trash placed on the ground in front of them, indicating that they are collecting waste.\n\nThe area around the statue is clean, with no visible litter except for the bags of collected trash. The ground is paved, and the overall setting appears to be well-maintained despite the ongoing cleanup activity. The trees provide some shade, and the atmosphere seems calm and focused on the task at hand.\n\nThis image highlights the importance of community involvement in maintaining public spaces and promoting environmental cleanliness. The presence of the statue adds a historical or cultural element to the scene, suggesting that the park may have significant local or national importance.",1
white elephant,idiomatic,Miami's original Metrorail line was a white elephant when it was built and it remains one today.,61362577917.png,"The image depicts two children standing on an elevated platform, observing an elephant in a zoo setting. The children are wearing backpacks and appear to be engaged in a visit to the zoo. The elephant is positioned behind a fence, which separates it from the children. In the background, there are rocky formations and some greenery, including trees and bushes, creating a naturalistic environment for the animals. Another animal, possibly a camel or a similar creature, is visible in the background, further enhancing the zoo-like atmosphere. The overall scene suggests a educational or recreational outing for the children.",0
white elephant,idiomatic,Miami's original Metrorail line was a white elephant when it was built and it remains one today.,81445236099.png,"The image depicts a young child engaged in building with colorful, block-like toys. The child is wearing an orange hoodie and gray pants, with blue shoes. The blocks are stacked vertically to form a tower, each block featuring different cartoonish characters or symbols on them. The child appears to be smiling and focused on the task of building the tower. The background is plain white, emphasizing the vibrant colors of the blocks and the child's activity.",0
guinea pig,idiomatic,"A former resident of one of the homes said she was used as a guinea pig for vaccines at a home in Cork, before being adopted in 1961.",20717384670.png,"The image depicts two individuals standing and engaged in a conversation. The person on the left is an older man with gray hair, wearing glasses, a light-colored shirt, and brown pants. He appears to be holding a small object, possibly a pill or a capsule, in his hand. His expression suggests he is explaining something about the object.\n\nThe person on the right is a younger woman with short black hair. She is dressed in a black polo shirt and gray pants, and she is holding a clipboard in her hands. Her posture indicates that she is listening attentively to the older man. The clipboard suggests that she might be taking notes or reviewing information.\n\nThe background of the image is plain white, which helps to focus attention on the interaction between the two characters. The overall scene suggests a professional setting, possibly involving a consultation or discussion about medication or health-related matters.",1
guinea pig,idiomatic,"A former resident of one of the homes said she was used as a guinea pig for vaccines at a home in Cork, before being adopted in 1961.",66149700285.png,"The image depicts a detailed illustration of a guinea pig. The guinea pig has a round, plump body with a fluffy coat that appears soft and well-groomed. Its fur is primarily orange with black and white markings. The head is small in proportion to the body, with large, expressive eyes that are dark brown with a white highlight, giving them a lively appearance. The ears are small and rounded, with a black inner ear visible at the base. The nose is pink and slightly protruding, with a small pink mouth showing a hint of teeth. The whiskers are long and white, extending from the sides of the face. The feet are small and have sharp, pointed nails. The overall color scheme is warm, with shades of orange, black, and white dominating the illustration. The background is plain white, which helps to emphasize the details and colors of the guinea pig.",0
guinea pig,idiomatic,"A former resident of one of the homes said she was used as a guinea pig for vaccines at a home in Cork, before being adopted in 1961.",14575503360.png,"The image depicts a cartoon-style illustration of a man dressed in formal attire, specifically a black suit with a white shirt and an orange tie. He is standing upright and appears to be conducting or directing something, as indicated by his right hand holding a thin, orange baton raised above his head. His left hand is placed on his hip, and he has a confident and focused expression on his face. The background is plain and light-colored, which helps to emphasize the subject in the foreground. The overall style of the illustration is clean and simple, with smooth lines and minimal shading.",0
copy cat,idiomatic,"If they got the Ripper, the crimes of the copy cat could be dealt with easily.",61863459734.png,"The image depicts two cartoon characters standing side by side, facing each other. Both characters are wearing matching black dresses adorned with orange and red floral patterns. The character on the left has blonde hair and is pointing at the character on the right with her index finger. The character on the right has dark hair and is also pointing at the other character with her index finger. Both characters appear to be in an animated conversation or argument, as indicated by their expressive faces and gestures. The background is plain white, which helps to emphasize the characters and their interaction.",1
copy cat,idiomatic,"If they got the Ripper, the crimes of the copy cat could be dealt with easily.",49190813558.png,"The image depicts two cute, cartoon-style kittens with orange fur and white faces. They have large, expressive green eyes and small pink noses. The kittens are sitting side by side, facing each other, with their heads turned slightly towards the viewer. Their fluffy fur and detailed features give them a very adorable and endearing appearance. The background is plain white, which helps to highlight the kittens' vibrant colors and details.",0
copy cat,idiomatic,"If they got the Ripper, the crimes of the copy cat could be dealt with easily.",55219430200.png,"The image depicts a vintage typewriter with a bright orange body and black accents. The typewriter has a standard QWERTY keyboard layout, with keys arranged in rows. The keys are light brown with black lettering. The typewriter's carriage is visible at the top, holding a blank sheet of paper. The hands of a person are shown typing on the keyboard, with one hand pressing keys and the other hand holding the pen to write. The overall design suggests a classic, manual typewriter used for writing documents manually before the advent of modern computers.",0
armchair critic,idiomatic,He will be quoted as an example of all that is wrong with the game by every armchair critic in Wales.,09100718170.png,"The image depicts a lively scene at a bar or a similar social setting. There are four individuals present, engaged in conversation. The background features a bar counter with various bottles and glasses, suggesting a well-stocked bar area. Above the bar, there is a television screen displaying what appears to be a sports event, adding to the ambiance of the place.\n\nIn the foreground, a woman with long brown hair is standing on the left side of the image. She is dressed in a sleeveless top and dark pants. She is gesturing with her hands, indicating she is in the middle of speaking or explaining something. \n\nTo her right, a man with short brown hair is standing, facing the woman. He is wearing a light-colored shirt under a dark jacket. His body language suggests he is actively listening or responding to the woman's conversation.\n\nFurther to the right, another man with short dark hair is also engaged in the conversation. He is dressed in a white shirt and appears to be smiling, indicating a friendly interaction.\n\nBehind these three individuals, another man is standing at the bar counter. He has short hair and is wearing a light-colored shirt. He seems to be observing the conversation between the other three people.\n\nThe lighting in the image is warm, with hanging lights above the bar providing a cozy atmosphere. The overall mood of the image is social and relaxed, typical of a casual gathering at a bar.",1
armchair critic,idiomatic,He will be quoted as an example of all that is wrong with the game by every armchair critic in Wales.,39616645430.png,"The image depicts a cartoon-style illustration of a woman standing next to a brown armchair. She is holding a clipboard and a pen, suggesting she might be taking notes or conducting an interview. The woman is dressed in a brown jacket and black pants, with black shoes. There is a potted plant with large green leaves next to the armchair, adding a touch of greenery to the scene. The overall setting appears to be indoors, possibly in an office or a waiting area.",0
armchair critic,idiomatic,He will be quoted as an example of all that is wrong with the game by every armchair critic in Wales.,86700414224.png,"The image depicts an elderly man engaged in woodworking. He is seated on a wooden chair, wearing a wide-brimmed hat and overalls. The man is focused on carving a piece of wood with a chisel, which is placed on a small wooden table in front of him. Various tools and pieces of wood are scattered around the scene, indicating an active woodworking session. The background is minimalistic, focusing attention on the man and his work.",0
heart of gold,idiomatic,Even the somewhat seedy failed private eye has a heart of gold (and a bad hairstyle).,86137977215.png,"The image depicts a cartoon scene where a young boy is feeding a group of puppies. The boy, who has brown hair and is wearing an orange shirt and brown shorts, is holding a bowl filled with food. There are four puppies in the scene: one brown puppy standing close to the boy, two black and white puppies standing next to each other, and another brown puppy standing slightly behind them. Each puppy has a bowl of food in front of it on the ground. The background shows a simple, plain wall with a door on the left side and a stone pillar on the right side. The overall setting appears to be indoors, possibly in a garage or a similar area.",1
heart of gold,idiomatic,Even the somewhat seedy failed private eye has a heart of gold (and a bad hairstyle).,92088849364.png,"The image depicts a stylized, artistic representation of a human heart. The heart is rendered in a glossy, golden-orange color with a smooth, reflective surface. It features intricate details such as the coronary arteries and veins, which are depicted in a darker shade of orange and black, respectively. The heart also has small, sparkling gemstones embedded in various locations, adding a decorative and luxurious touch. The overall design combines elements of realism with a fantastical, embellished aesthetic.",0
heart of gold,idiomatic,Even the somewhat seedy failed private eye has a heart of gold (and a bad hairstyle).,90660547751.png,"The image depicts a futuristic, stylized spacecraft with a sleek, aerodynamic design. The main body of the spacecraft is white with orange accents and various panels and buttons. It has a large, rounded front section with a prominent window, suggesting it is designed for observation or communication. The side panels feature multiple control panels and lights, indicating advanced technology and functionality. The rear of the spacecraft has several thrusters, likely for propulsion and maneuverability. The overall design suggests a blend of science fiction and modern engineering aesthetics.",0
watering hole,idiomatic,"If you want to feel like an actual pirate, the music is what you would want to hear when pulling into a foreign port and visiting the local watering hole with the urge to party all night.",51222203504.png,"The image depicts a well-organized bar counter with various elements that suggest it is a place for serving drinks and possibly socializing. Here's a detailed description of the objects present in the image:\n\n1. **Bar Counter**: The bar counter is made of wood and has a sleek, modern design. It is supported by three high stools with round seats and thin metal legs.\n\n2. **Shelves**: Above the bar counter, there are three shelves filled with an assortment of bottles and glasses. The top shelf contains a variety of bottles, including some that appear to be spirits like whiskey, vodka, and rum. The middle shelf also holds a mix of bottles and glasses, indicating a diverse selection of beverages. The bottom shelf is mostly occupied by glasses, suggesting that the bar is prepared to serve a range of cocktails and other drinks.\n\n3. **Bottles**: The bottles on the shelves are of different shapes and sizes, indicating a wide selection of alcoholic beverages. Some bottles have colorful labels, while others are more subdued in color. This variety suggests that the bar caters to different tastes and preferences.\n\n4. **Glasses**: There are numerous glasses on the shelves, including both cocktail glasses and standard drinking glasses. These glasses are likely used for serving different types of drinks, such as cocktails, beer, wine, and water.\n\n5. **Decorative Items**: On the bar counter, there are a few decorative items. A bowl of oranges adds a touch of color and freshness to the setting. Additionally, there are some small containers and possibly a bottle of bitters or a shaker, which are common tools used in mixology.\n\n6. **Lighting**: The bar is illuminated by three pendant lights hanging above the counter. These lights have a warm, orange glow, creating a cozy and inviting atmosphere.\n\n7. **Background**: The background behind the bar counter is black, which helps to highlight the items on the shelves and the lighting above. This contrast makes the bar area stand out and gives it a modern, sophisticated look.\n\n8. **Stools**: The three high stools are positioned in front of the bar counter. They have round seats and thin metal legs, matching the sleek design of the bar counter. The stools are unoccupied, suggesting that the bar is currently not in use.\n\nOverall, the image portrays a well-stocked and inviting bar area, ready to serve a variety of drinks to patrons. The combination of the modern design, the variety of bottles and glasses",1
